product_id,sku,product_name,category,unit_cost,unit_price,base_daily_demand,is_seasonal,shelf_life_days,abc_class_hint
37,SKU-00037,Automotive Item 37,Automotive Parts,13.79,19.83,115.4,0,90,
38,SKU-00038,Apparel Item 38,Apparel,25.33,34.15,55.11,1,365,
39,SKU-00039,Packaged Item 39,Packaged Foods,21.18,44.21,75.02,1,3650,
40,SKU-00040,Personal Item 40,Personal Care,334.98,510.66,84.38,1,365,
41,SKU-00041,Automotive Item 41,Automotive Parts,26.08,36.29,34.52,0,3650,
42,SKU-00042,Industrial Item 42,Industrial Parts,3.51,7.23,81.18,0,3650,
43,SKU-00043,Apparel Item 43,Apparel,21.17,42.36,45.16,1,90,
44,SKU-00044,Automotive Item 44,Automotive Parts,87.49,150.18,54.48,0,180,
45,SKU-00045,Personal Item 45,Personal Care,3.47,5.81,83.15,1,90,
46,SKU-00046,Personal Item 46,Personal Care,14.46,23.74,14.69,1,365,
47,SKU-00047,Apparel Item 47,Apparel,113.56,181.19,158.86,1,365,
48,SKU-00048,Home Item 48,Home & Kitchen,45.97,81.8,203.36,0,365,
49,SKU-00049,Electronics Item 49,Electronics,43.92,91.12,131.94,0,90,
50,SKU-00050,Home Item 50,Home & Kitchen,124.05,170.7,147.28,0,3650,
51,SKU-00051,Personal Item 51,Personal Care,91.03,182.46,22.61,1,3650,
52,SKU-00052,Apparel Item 52,Apparel,5.95,8.24,26.82,1,365,
53,SKU-00053,Apparel Item 53,Apparel,2.03,3.59,145.89,1,3650,
54,SKU-00054,Apparel Item 54,Apparel,2.55,5.45,90.41,1,90,
55,SKU-00055,Office Item 55,Office Supplies,46.83,93.51,175.62,0,365,
56,SKU-00056,Electronics Item 56,Electronics,25.39,39.19,138.46,0,180,
57,SKU-00057,Packaged Item 57,Packaged Foods,54.59,92.48,59.1,1,180,
58,SKU-00058,Home Item 58,Home & Kitchen,8.83,17.68,176.16,0,365,
59,SKU-00059,Apparel Item 59,Apparel,46.61,65.56,161.54,1,3650,
60,SKU-00060,Industrial Item 60,Industrial Parts,99.91,191.58,56.62,0,30,
61,SKU-00061,Electronics Item 61,Electronics,4.05,6.88,13.44,0,180,
62,SKU-00062,Industrial Item 62,Industrial Parts,4.89,10.74,97.56,0,3650,
63,SKU-00063,Personal Item 63,Personal Care,23.06,31.86,93.31,1,3650,
64,SKU-00064,Home Item 64,Home & Kitchen,16.78,33.54,97.96,0,90,
65,SKU-00065,Electronics Item 65,Electronics,17.86,24.05,97.36,0,365,
66,SKU-00066,Automotive Item 66,Automotive Parts,1.95,2.64,19.63,0,3650,
67,SKU-00067,Automotive Item 67,Automotive Parts,75.77,101.24,77.41,0,90,
68,SKU-00068,Automotive Item 68,Automotive Parts,8.69,12.51,163.84,0,3650,
69,SKU-00069,Electronics Item 69,Electronics,112.25,207.71,49.84,0,30,
70,SKU-00070,Apparel Item 70,Apparel,17.62,34.16,26.08,1,90,
71,SKU-00071,Home Item 71,Home & Kitchen,10.44,20.94,42.72,0,365,
72,SKU-00072,Electronics Item 72,Electronics,75.24,118.22,85.12,0,365,
73,SKU-00073,Packaged Item 73,Packaged Foods,29.47,51.79,50.97,1,180,
74,SKU-00074,Personal Item 74,Personal Care,21.53,33.38,226.69,1,180,
75,SKU-00075,Packaged Item 75,Packaged Foods,27.49,45.85,85.39,1,90,
76,SKU-00076,Industrial Item 76,Industrial Parts,12.7,21.29,6.69,0,365,
77,SKU-00077,Apparel Item 77,Apparel,13.37,25.18,28.3,1,365,
78,SKU-00078,Apparel Item 78,Apparel,58.2,98.26,104.02,1,365,
79,SKU-00079,Packaged Item 79,Packaged Foods,22.01,46.86,78.86,1,365,
80,SKU-00080,Home Item 80,Home & Kitchen,30.89,63.44,58.25,0,365,
81,SKU-00081,Electronics Item 81,Electronics,28.98,44.99,107.28,0,180,
82,SKU-00082,Electronics Item 82,Electronics,3.22,4.23,51.96,0,3650,
83,SKU-00083,Personal Item 83,Personal Care,9.78,13.77,164.81,1,180,
84,SKU-00084,Office Item 84,Office Supplies,31.03,49.02,42.35,0,365,
85,SKU-00085,Apparel Item 85,Apparel,18.43,27.43,52.46,1,365,
86,SKU-00086,Personal Item 86,Personal Care,49.29,107.96,107.48,1,365,
87,SKU-00087,Apparel Item 87,Apparel,81.76,135.18,162.17,1,30,
88,SKU-00088,Office Item 88,Office Supplies,96.04,137.88,73.69,0,90,
89,SKU-00089,Apparel Item 89,Apparel,38.0,66.16,92.86,1,365,
90,SKU-00090,Automotive Item 90,Automotive Parts,3.72,7.66,3.71,0,365,
91,SKU-00091,Packaged Item 91,Packaged Foods,24.62,40.13,54.42,1,365,
92,SKU-00092,Personal Item 92,Personal Care,35.04,69.79,107.08,1,3650,
93,SKU-00093,Home Item 93,Home & Kitchen,7.15,11.49,52.03,0,365,
94,SKU-00094,Packaged Item 94,Packaged Foods,18.71,39.77,43.5,1,365,
95,SKU-00095,Industrial Item 95,Industrial Parts,17.12,36.55,124.79,0,180,
96,SKU-00096,Apparel Item 96,Apparel,18.77,29.1,76.85,1,3650,
97,SKU-00097,Packaged Item 97,Packaged Foods,69.96,138.89,16.23,1,3650,
98,SKU-00098,Personal Item 98,Personal Care,41.03,80.38,52.62,1,180,
99,SKU-00099,Personal Item 99,Personal Care,5.92,9.23,79.58,1,3650,
100,SKU-00100,Packaged Item 100,Packaged Foods,13.15,22.89,12.58,1,3650,
101,SKU-00101,Office Item 101,Office Supplies,11.27,15.51,10.6,0,365,
102,SKU-00102,Industrial Item 102,Industrial Parts,43.07,57.42,38.9,0,180,
103,SKU-00103,Automotive Item 103,Automotive Parts,4.84,9.66,26.25,0,3650,
104,SKU-00104,Electronics Item 104,Electronics,25.58,38.65,19.95,0,365,
105,SKU-00105,Apparel Item 105,Apparel,10.81,14.34,68.34,1,180,
106,SKU-00106,Office Item 106,Office Supplies,7.1,14.68,47.59,0,180,
107,SKU-00107,Office Item 107,Office Supplies,14.72,22.78,47.85,0,3650,
108,SKU-00108,Office Item 108,Office Supplies,33.94,66.04,24.12,0,3650,
109,SKU-00109,Packaged Item 109,Packaged Foods,17.43,31.68,75.95,1,3650,
110,SKU-00110,Automotive Item 110,Automotive Parts,23.67,50.27,20.22,0,365,
111,SKU-00111,Home Item 111,Home & Kitchen,36.13,47.54,195.21,0,365,
112,SKU-00112,Apparel Item 112,Apparel,14.53,31.43,76.25,1,3650,
113,SKU-00113,Packaged Item 113,Packaged Foods,3.65,5.81,50.5,1,3650,
114,SKU-00114,Packaged Item 114,Packaged Foods,44.03,83.13,43.15,1,180,
115,SKU-00115,Office Item 115,Office Supplies,217.59,392.82,119.81,0,3650,
116,SKU-00116,Apparel Item 116,Apparel,37.53,82.39,58.41,1,365,
117,SKU-00117,Home Item 117,Home & Kitchen,12.44,22.47,44.0,0,90,
118,SKU-00118,Office Item 118,Office Supplies,27.5,46.47,45.67,0,30,
119,SKU-00119,Automotive Item 119,Automotive Parts,1.97,2.68,32.44,0,365,
120,SKU-00120,Automotive Item 120,Automotive Parts,15.72,22.01,56.81,0,180,
