snapshot_id,snapshot_date,product_id,warehouse_id,inventory_on_hand,reorder_point,days_of_supply,week_demand
55,2024-02-19,1,11,968.0,1092.9,5.2,471.9
56,2023-08-07,92,13,445.1,482.0,4.5,387.2
57,2023-08-07,80,22,1375.1,496.4,14.5,389.1
58,2024-02-19,24,17,150.8,91.8,4.9,69.4
59,2023-08-07,86,14,542.1,919.5,2.6,881.2
60,2024-02-19,6,22,516.1,1069.3,2.2,690.9
61,2024-08-05,23,22,951.0,1490.3,4.2,1653.6
62,2025-11-24,75,4,690.9,649.5,4.7,1606.4
63,2023-01-01,58,18,1937.1,860.6,8.4,1465.6
64,2024-09-02,8,19,2078.2,1069.6,10.3,1164.8
65,2024-05-13,9,13,0.0,183.0,0.0,325.5
66,2024-01-22,100,2,219.2,120.3,9.7,78.3
67,2023-02-20,56,19,1013.8,1707.1,5.4,1674.8
68,2025-10-27,54,13,452.3,325.4,5.5,319.5
69,2024-04-15,76,18,135.0,65.3,18.3,34.8
70,2024-09-02,67,10,150.0,486.0,1.2,580.2
71,2023-04-17,30,18,603.9,210.3,14.0,287.3
72,2024-05-13,117,14,396.5,434.4,5.9,227.9
73,2023-08-07,46,12,375.8,217.0,13.7,107.2
74,2023-05-15,35,2,2754.8,1653.1,6.8,3114.8
75,2025-09-29,44,7,224.2,799.7,2.7,597.8
76,2025-11-24,117,18,615.7,198.3,12.1,340.2
77,2025-02-17,96,3,436.9,325.2,6.6,115.7
78,2024-03-18,115,14,2328.4,1435.7,12.2,793.4
79,2025-03-17,110,6,16.2,224.4,0.8,109.1
80,2023-02-20,86,10,2919.9,817.9,15.7,850.9
81,2025-09-29,71,2,962.4,797.9,13.4,388.0
82,2024-12-23,7,3,9.5,78.7,0.6,98.6
83,2024-03-18,88,22,0.0,541.5,0.0,844.2
84,2025-06-09,118,17,724.5,595.7,11.0,294.1
85,2025-09-01,76,18,113.6,65.3,15.4,120.2
86,2023-07-10,104,17,193.0,253.7,7.0,184.7
87,2023-07-10,73,20,398.3,986.3,4.6,504.4
88,2025-09-01,44,17,440.1,929.8,5.7,1183.3
89,2024-10-28,54,4,0.0,624.3,0.0,3353.8
90,2024-05-13,13,15,488.9,263.7,20.0,184.0
91,2024-11-25,36,8,401.8,334.2,13.9,193.9
92,2025-06-09,51,11,619.3,428.1,15.7,250.3
93,2023-10-02,40,5,170.5,700.9,2.4,785.4
94,2023-04-17,73,18,582.7,767.1,8.8,540.7
95,2023-05-15,64,19,433.3,773.5,3.2,1702.2
96,2023-06-12,75,21,430.9,716.5,2.8,1571.5
97,2025-01-20,67,3,173.1,284.2,2.9,215.4
98,2024-02-19,54,2,1374.1,565.7,8.6,496.0
99,2024-07-08,84,11,100.0,394.2,1.6,796.1
100,2024-12-23,99,19,698.1,648.5,5.9,984.2
101,2023-01-01,14,5,220.0,165.3,15.8,31.7
102,2025-03-17,64,14,1235.7,631.4,8.1,639.8
103,2024-09-30,83,5,0.0,480.5,0.0,2943.8
104,2023-01-01,29,8,612.6,595.2,10.5,309.6
105,2025-05-12,15,13,0.0,881.9,0.0,904.5
106,2024-01-22,15,13,1469.5,881.9,18.7,179.2
107,2023-11-27,117,14,521.5,434.4,7.7,213.5
108,2024-07-08,102,14,435.7,773.4,6.9,798.7
109,2023-04-17,102,11,507.3,431.6,8.1,449.6
110,2025-01-20,56,19,0.0,1707.1,0.0,2392.0
111,2025-12-22,55,10,3790.3,1421.7,12.7,1385.6
112,2025-09-29,33,21,15.4,44.9,1.7,95.1
113,2025-02-17,117,14,472.5,434.4,7.0,186.9
114,2023-06-12,113,15,652.3,215.0,14.2,128.6
115,2024-02-19,85,5,60.4,214.1,1.3,318.5
116,2024-02-19,81,13,674.8,329.8,8.1,496.6
117,2023-12-25,86,14,0.0,919.5,0.0,7142.7
118,2023-02-20,41,20,0.0,199.2,0.0,589.0
119,2025-05-12,58,7,0.0,907.6,0.0,4385.7
120,2024-12-23,96,9,667.1,561.7,5.6,791.3
121,2024-09-02,99,6,601.8,434.8,6.0,688.7
122,2024-10-28,44,3,382.1,403.1,8.4,114.4
123,2024-02-19,56,4,4794.2,1786.3,20.6,1786.9
124,2023-06-12,33,21,77.8,44.9,8.8,74.7
125,2023-11-27,14,6,267.5,223.6,13.8,75.9
126,2023-06-12,37,4,1206.9,1042.2,6.9,1189.5
127,2025-09-29,51,1,727.0,305.1,20.0,108.2
128,2024-01-22,107,6,168.0,194.7,3.3,280.9
129,2025-04-14,8,8,424.4,1123.0,2.4,1267.8
130,2025-03-17,79,2,3029.0,1301.2,20.7,810.5
131,2024-10-28,66,18,57.1,135.4,2.2,94.0
132,2024-01-22,10,12,154.5,330.8,2.3,627.8
133,2023-05-15,96,12,796.6,675.2,5.6,1262.7
134,2023-05-15,23,3,730.9,445.3,6.1,597.9
135,2024-08-05,107,6,286.0,194.7,5.5,425.1
136,2023-05-15,41,22,319.1,306.6,6.1,400.4
137,2023-01-01,42,5,807.2,328.7,11.8,296.5
138,2024-07-08,99,2,461.4,851.3,3.0,488.6
139,2023-01-01,80,5,201.6,179.0,4.1,491.5
140,2024-09-30,103,12,186.3,190.5,4.1,134.3
141,2025-01-20,107,22,435.1,360.1,5.2,1151.1
142,2025-04-14,94,14,354.2,425.2,4.4,510.3
143,2023-10-30,11,19,2642.4,1502.0,10.6,1424.5
144,2023-11-27,113,2,0.0,532.0,0.0,839.0
145,2024-10-28,102,11,684.2,431.6,11.0,404.3
146,2024-03-18,75,13,1168.0,372.2,15.2,263.3
147,2025-06-09,93,2,330.5,522.4,3.9,780.6
148,2023-09-04,9,7,1150.4,431.3,17.0,283.9
149,2024-08-05,1,2,2462.6,1612.9,12.2,600.4
150,2023-02-20,10,2,429.7,363.6,6.4,445.4
151,2023-10-30,113,6,0.0,284.2,0.0,1251.4
152,2024-12-23,114,14,0.0,285.4,0.0,659.1
153,2024-08-05,106,10,28.2,383.7,0.4,493.5
154,2024-03-18,55,19,1392.7,1101.4,5.7,2344.5
155,2024-09-30,64,17,212.3,673.3,1.6,1479.4
156,2025-01-20,120,21,0.0,339.5,0.0,1116.0
157,2023-09-04,61,18,223.9,181.8,14.2,80.8
158,2023-12-25,13,15,0.0,263.7,0.0,84.8
159,2023-12-25,89,3,179.2,335.2,2.2,868.8
160,2024-09-02,38,4,577.5,520.8,6.0,940.2
161,2023-08-07,115,14,617.6,1435.7,3.2,741.2
162,2023-09-04,16,11,0.0,388.3,0.0,577.8
163,2025-09-29,110,6,0.0,224.4,0.0,80.2
164,2024-10-28,10,3,119.3,197.3,3.8,382.0
165,2023-11-27,71,6,919.2,580.0,19.4,727.9
166,2024-10-28,85,5,222.5,214.1,4.6,391.1
167,2023-03-20,30,19,123.6,187.4,2.7,526.0
168,2025-07-07,35,19,0.0,1516.6,0.0,1904.8
169,2025-04-14,106,10,138.0,383.7,1.8,993.9
170,2025-06-09,88,16,64.4,500.6,0.8,653.9
171,2024-07-08,56,18,1945.7,1360.0,11.5,832.0
172,2023-01-23,42,8,183.5,544.7,1.8,802.7
173,2024-11-25,82,3,197.2,177.7,4.8,288.8
174,2024-09-02,111,7,0.0,1032.1,0.0,2181.3
175,2025-03-17,71,1,1469.9,526.2,20.5,462.6
176,2025-06-09,58,21,2710.0,1007.7,9.4,1999.6
177,2025-02-17,20,15,1238.5,824.7,11.2,454.3
178,2023-01-23,102,6,1303.7,505.6,31.0,338.6
179,2025-01-20,118,17,1226.1,595.7,18.7,320.0
180,2025-07-07,117,18,283.5,198.3,5.6,621.3
181,2024-05-13,17,21,381.6,440.3,8.1,197.6
182,2025-11-24,95,19,1495.9,1190.0,9.5,920.2
183,2023-10-02,38,18,93.0,228.1,1.2,865.0
184,2025-04-14,94,4,581.2,430.0,7.4,181.2
185,2025-01-20,66,15,105.9,94.3,6.2,115.8
186,2023-09-04,52,11,545.0,249.7,11.9,130.1
187,2024-12-23,50,10,943.9,864.1,3.9,2292.2
188,2024-04-15,110,7,364.5,206.1,13.1,228.6
189,2023-11-27,89,18,249.6,392.0,2.0,529.3
190,2025-12-22,81,16,544.0,521.6,4.9,502.8
191,2024-08-05,4,3,281.3,207.6,7.2,459.5
192,2023-11-27,72,10,1622.2,1523.0,11.6,663.7
193,2025-06-09,81,4,405.4,812.9,2.3,579.0
194,2025-09-29,76,3,27.5,62.2,5.1,50.2
195,2025-02-17,35,1,1527.5,1465.1,3.7,1169.5
196,2023-12-25,24,3,175.4,58.6,11.0,89.3
197,2025-07-07,75,11,1196.4,732.1,8.2,847.2
198,2023-07-10,95,15,2196.2,1109.1,20.4,682.0
199,2024-07-08,31,15,641.6,242.5,8.6,207.2
200,2023-04-17,80,12,407.1,524.7,4.3,385.4
201,2023-01-23,73,4,1266.1,796.2,13.4,149.2
202,2025-10-27,105,4,1628.7,988.5,14.6,639.8
203,2023-11-27,20,17,4777.1,2103.7,24.7,1414.0
204,2025-08-04,75,6,0.0,478.2,0.0,1253.2
205,2025-09-01,6,7,1379.4,555.5,7.9,1369.2
206,2024-12-23,15,10,314.9,1178.6,1.9,2021.9
207,2023-11-27,88,22,495.9,541.5,3.9,716.1
208,2023-10-02,60,19,1330.8,461.7,17.4,351.1
209,2023-02-20,19,16,548.1,193.4,12.1,159.3
210,2025-03-17,87,21,169.4,1095.0,0.6,2002.6
211,2023-11-27,81,22,1564.0,723.9,8.5,880.2
212,2024-01-22,52,11,293.6,249.7,6.4,272.6
213,2024-04-15,102,8,785.9,473.0,17.1,330.8
214,2025-09-01,18,19,2421.3,994.5,7.9,779.0
215,2025-06-09,72,15,940.9,640.8,13.8,436.8
216,2024-06-10,18,19,2408.9,994.5,7.8,1171.3
217,2023-10-30,102,11,1271.8,431.6,20.4,315.8
218,2023-11-27,58,3,1782.0,814.0,12.6,1049.3
219,2024-06-10,111,19,435.3,1384.7,1.7,1559.8
220,2023-03-20,37,15,708.4,420.1,7.3,1004.8
221,2025-01-20,110,5,317.8,135.6,18.2,83.3
222,2025-12-22,39,14,0.0,483.0,0.0,2873.0
223,2024-09-02,96,3,561.4,325.2,8.5,258.9
224,2023-04-17,29,7,778.4,727.9,10.6,298.6
225,2023-09-04,63,19,293.5,875.5,2.1,585.4
226,2023-07-10,29,17,768.9,491.1,10.5,322.2
227,2024-08-05,57,2,854.6,1113.8,6.9,949.1
228,2024-04-15,67,10,174.9,486.0,1.4,494.0
229,2023-09-04,80,22,31.8,496.4,0.3,1338.5
230,2023-10-30,84,12,11.3,304.8,0.2,552.6
231,2025-05-12,73,10,3771.1,964.2,41.4,263.5
232,2024-05-13,97,11,215.0,196.6,7.8,121.8
233,2023-01-01,11,14,4661.6,1725.9,15.2,1352.2
234,2023-07-10,86,20,124.2,1014.6,0.6,2222.6
235,2023-05-15,113,6,142.8,284.2,2.2,210.5
236,2025-05-12,72,12,855.2,1202.3,5.8,851.2
237,2023-09-04,72,9,2374.0,945.9,21.6,540.6
238,2023-08-07,101,3,104.3,40.3,12.0,52.7
239,2023-10-30,98,13,0.0,216.2,0.0,539.7
240,2023-08-07,86,15,444.3,319.2,4.4,447.6
241,2024-11-25,115,8,2310.2,1539.3,16.4,638.1
242,2025-06-09,61,19,192.0,140.7,10.1,114.5
243,2025-10-27,26,4,0.0,567.2,0.0,2194.4
244,2025-08-04,25,5,0.0,116.9,0.0,294.3
245,2023-01-01,37,15,1162.1,420.1,11.9,783.8
246,2023-07-10,33,4,60.2,45.7,6.9,51.4
247,2025-09-29,20,9,0.0,1276.9,0.0,1474.8
248,2023-10-30,81,20,0.0,989.5,0.0,2877.6
249,2024-07-08,51,14,465.0,302.3,11.6,248.8
250,2023-08-07,20,20,4835.0,2225.0,23.3,1090.1
251,2024-02-19,73,21,849.4,646.5,10.1,492.0
252,2023-12-25,120,6,0.0,270.0,0.0,1089.4
253,2024-03-18,41,12,600.2,354.6,10.3,408.0
254,2023-02-20,16,12,47.7,371.0,0.6,557.3
255,2025-04-14,50,9,465.8,1127.9,2.5,1514.5
256,2024-12-23,43,20,536.7,294.4,6.9,710.0
257,2023-12-25,19,3,277.6,113.3,9.1,200.8
258,2024-03-18,51,14,439.0,302.3,10.9,160.8
259,2023-01-23,106,20,66.3,394.7,0.9,801.0
260,2023-01-23,98,13,0.0,216.2,0.0,286.5
261,2025-02-17,80,5,384.9,179.0,7.8,453.1
262,2024-06-10,74,22,2785.2,1630.4,6.5,2123.2
263,2025-04-14,58,16,0.0,985.6,0.0,1649.5
264,2024-07-08,4,21,524.3,303.6,6.5,233.0
265,2023-11-27,74,4,2324.7,1932.6,5.8,2089.6
266,2024-09-30,115,14,2266.3,1435.7,11.9,1167.5
267,2025-09-29,73,18,1599.5,767.1,24.2,326.7
268,2024-04-15,88,8,972.7,365.8,11.0,355.7
269,2024-09-30,102,6,123.7,505.6,2.9,169.3
270,2024-03-18,54,2,119.9,565.7,0.7,1101.5
271,2024-10-28,120,8,295.3,262.3,4.3,323.2
272,2023-02-20,109,21,246.0,641.1,1.9,572.5
273,2023-04-17,106,20,527.3,394.7,6.8,952.3
274,2023-08-07,95,11,1652.0,1530.3,8.1,966.2
275,2024-03-18,28,8,0.0,1678.8,0.0,1022.9
276,2025-09-29,26,4,848.6,567.2,8.4,664.1
277,2024-08-05,75,12,0.0,690.7,0.0,2311.2
278,2024-03-18,79,15,890.8,783.3,12.1,300.0
279,2023-11-27,3,10,427.5,453.1,3.7,1626.2
280,2024-11-25,39,12,1106.6,773.3,8.5,513.8
281,2023-12-25,20,9,1473.8,1276.9,8.6,872.4
282,2024-07-08,96,5,0.0,246.9,0.0,432.6
283,2023-12-25,106,8,341.9,322.5,5.9,313.2
284,2023-03-20,77,21,0.0,329.0,0.0,802.7
285,2023-05-15,2,22,4289.9,2547.9,19.9,1115.7
286,2025-11-24,29,1,1677.3,830.6,19.8,583.9
287,2025-03-17,92,13,743.2,482.0,7.5,313.2
288,2025-07-07,74,11,65.5,2195.6,0.2,4678.2
289,2023-01-01,88,8,482.7,365.8,5.4,1071.4
290,2025-04-14,13,21,470.0,514.3,10.8,388.8
291,2024-11-25,79,9,0.0,1022.0,0.0,2129.4
292,2025-09-29,58,22,998.3,1225.6,3.3,1400.3
293,2025-06-09,51,7,272.8,365.8,7.3,135.9
294,2025-02-17,14,6,24.7,223.6,1.3,130.4
295,2023-06-12,49,5,0.0,445.2,0.0,1741.3
296,2023-03-20,37,22,2415.1,981.1,12.0,1357.3
297,2024-09-30,17,6,276.6,281.8,8.2,266.7
298,2025-02-17,49,16,894.5,574.6,6.2,837.4
299,2023-05-15,93,8,155.9,288.5,2.6,434.9
300,2025-08-04,9,5,563.0,241.1,12.7,180.1
301,2023-10-30,44,15,1157.8,330.6,24.7,263.1
302,2024-05-13,98,20,0.0,541.1,0.0,1296.1
303,2024-05-13,33,1,0.0,32.1,0.0,210.8
304,2025-11-24,2,7,1424.6,2044.2,6.9,1430.4
305,2023-06-12,18,2,3534.1,1168.3,8.7,1993.2
306,2024-02-19,84,12,363.7,304.8,5.0,457.3
307,2025-04-14,88,22,0.0,541.5,0.0,1488.3
308,2024-03-18,40,2,1807.0,1732.1,11.9,410.6
309,2023-10-30,61,19,0.0,140.7,0.0,165.5
310,2025-11-24,81,11,1798.3,890.7,10.2,1193.6
311,2025-07-07,5,11,0.0,692.2,0.0,1081.2
312,2024-05-13,8,9,1731.4,1215.1,8.0,1564.4
313,2024-09-02,84,13,273.0,145.4,8.9,177.1
314,2024-10-28,112,15,0.0,392.9,0.0,1738.9
315,2024-05-13,1,14,3021.2,1472.3,16.7,529.9
316,2025-05-12,44,1,1387.6,777.2,17.0,229.5
317,2023-01-23,98,7,868.6,266.7,9.4,326.8
318,2025-02-17,32,2,180.4,114.9,6.1,123.5
319,2024-07-08,33,13,44.4,18.6,9.3,37.2
320,2024-12-23,111,3,0.0,899.1,0.0,1307.0
321,2023-03-20,39,4,195.5,711.6,1.5,693.3
322,2024-04-15,83,5,0.0,480.5,0.0,1098.1
323,2023-10-30,16,11,807.2,388.3,11.1,493.4
324,2024-10-28,99,15,530.7,238.1,6.6,794.1
325,2023-02-20,48,13,487.2,817.7,2.8,946.8
326,2025-04-14,106,8,656.5,322.5,11.3,470.3
327,2025-09-29,6,11,0.0,608.4,0.0,2920.1
328,2024-09-02,3,21,262.5,747.4,2.3,1145.5
329,2025-10-27,15,12,705.5,1692.1,3.9,1682.7
330,2023-11-27,82,7,312.1,330.4,4.3,247.3
331,2025-06-09,52,15,242.5,137.3,9.1,91.7
332,2024-07-08,98,13,41.3,216.2,0.9,314.5
333,2025-05-12,23,14,0.0,1006.0,0.0,1320.6
334,2023-10-02,41,15,232.6,127.5,8.0,251.5
335,2024-07-08,69,14,493.3,421.4,6.0,846.4
336,2023-10-02,14,5,0.0,165.3,0.0,270.2
337,2025-04-14,26,17,776.3,309.1,9.1,564.1
338,2023-09-04,45,20,956.6,587.0,6.6,849.9
339,2023-06-12,31,8,672.1,533.9,6.7,848.6
340,2023-05-15,72,5,0.0,533.9,0.0,1952.0
341,2025-01-20,111,10,383.4,1092.1,1.2,2774.9
342,2025-08-04,28,3,1481.2,731.9,15.3,321.9
343,2024-01-22,55,15,0.0,925.5,0.0,1466.2
344,2023-03-20,18,15,452.2,662.8,2.2,774.2
345,2023-11-27,2,16,977.6,1349.1,6.5,555.6
346,2023-11-27,51,14,1328.0,302.3,33.0,269.1
347,2024-08-05,15,1,2062.2,1624.2,13.0,910.4
348,2025-06-09,74,11,4840.1,2195.6,11.7,1785.2
349,2024-03-18,29,17,930.2,491.1,12.8,455.4
350,2023-07-10,106,20,500.7,394.7,6.4,446.1
351,2023-01-01,33,15,51.2,28.9,10.1,15.9
352,2024-01-22,110,19,58.0,181.8,2.3,59.5
353,2025-03-17,106,10,464.0,383.7,6.2,181.1
354,2023-11-27,90,14,85.2,22.9,15.2,12.9
355,2025-03-17,112,22,0.0,785.6,0.0,894.0
356,2024-12-23,86,14,2633.1,919.5,12.7,1089.5
357,2025-09-01,43,1,570.4,346.8,7.4,400.1
358,2025-06-09,24,17,0.1,91.8,0.0,92.1
359,2023-04-17,38,13,219.9,152.1,4.5,392.4
360,2025-02-17,66,20,0.0,155.0,0.0,256.4
361,2024-01-22,17,21,386.1,440.3,8.2,107.9
362,2024-03-18,56,3,0.0,1209.0,0.0,1235.5
363,2023-02-20,56,3,0.0,1209.0,0.0,814.2
364,2024-09-02,105,4,2347.8,988.5,21.0,481.4
365,2023-07-10,51,20,925.4,308.4,23.9,132.8
366,2025-04-14,71,13,480.8,310.5,14.3,179.4
367,2023-01-23,15,8,2120.6,1145.8,17.6,593.0
368,2025-02-17,114,2,1186.5,459.6,15.8,244.4
369,2024-03-18,106,19,994.5,374.0,15.8,229.8
370,2024-04-15,36,13,224.9,197.4,13.1,83.3
371,2024-05-13,84,5,467.7,203.2,13.9,114.4
372,2025-07-07,64,14,0.0,631.4,0.0,1839.5
373,2023-04-17,84,12,0.0,304.8,0.0,729.7
374,2023-07-10,71,16,459.6,373.4,9.7,347.8
375,2025-07-07,2,9,5359.1,2010.4,31.9,592.6
376,2025-09-01,1,20,4061.1,1975.1,20.9,657.0
377,2025-11-24,88,16,1198.3,500.6,15.1,369.3
378,2024-06-10,66,16,0.0,92.0,0.0,177.3
379,2025-09-29,116,13,131.4,322.9,2.5,1035.2
380,2023-02-20,66,15,59.3,94.3,3.5,152.6
381,2023-04-17,109,20,270.0,790.0,1.9,825.4
382,2023-03-20,24,4,0.0,122.2,0.0,302.6
383,2023-10-02,67,6,1044.5,460.8,11.7,592.1
384,2024-04-15,77,5,0.0,171.9,0.0,353.2
385,2024-03-18,49,11,784.5,714.9,3.5,2985.6
386,2025-08-04,26,7,0.0,427.3,0.0,1363.4
387,2024-05-13,86,22,1383.5,631.2,6.6,688.2
388,2024-10-28,76,12,0.0,97.3,0.0,35.9
389,2024-03-18,20,15,1614.4,824.7,14.7,625.8
390,2023-10-02,33,10,18.4,34.2,1.9,46.8
391,2023-01-23,28,5,1121.2,1116.1,11.1,424.1
392,2023-08-07,10,6,394.5,272.0,8.7,305.1
393,2025-02-17,39,4,1195.0,711.6,8.9,560.9
394,2024-02-19,15,13,0.0,881.9,0.0,383.3
395,2024-01-22,52,7,248.1,241.7,6.2,100.9
396,2025-07-07,34,4,215.0,371.8,3.4,426.4
397,2023-12-25,1,1,3161.0,1806.9,17.6,738.8
398,2023-02-20,115,8,1069.1,1539.3,7.6,648.3
399,2024-09-02,46,14,917.0,276.7,39.6,106.7
400,2023-01-01,57,7,405.2,1060.7,4.4,664.6
401,2025-12-22,17,6,0.0,281.8,0.0,107.4
402,2023-10-30,75,6,78.1,478.2,0.7,653.6
403,2024-08-05,98,11,789.3,451.6,9.3,592.6
404,2025-04-14,41,15,286.4,127.5,9.8,166.9
405,2024-04-15,84,12,132.0,304.8,1.8,406.0
406,2025-12-22,111,7,1340.8,1032.1,4.9,2209.0
407,2024-02-19,54,6,1189.0,523.7,10.9,638.3
408,2024-04-15,13,2,521.1,627.9,10.1,364.7
409,2025-07-07,67,1,738.3,619.4,6.3,844.8
410,2024-04-15,47,20,2161.1,1025.6,8.1,987.5
411,2025-02-17,66,18,98.8,135.4,3.8,224.0
412,2025-09-01,90,12,31.8,36.6,5.1,77.0
413,2025-12-22,51,7,0.0,365.8,0.0,487.7
414,2025-06-09,84,17,98.4,238.8,1.6,533.7
415,2023-01-01,8,8,116.5,1123.0,0.7,2615.9
416,2025-04-14,26,18,0.0,298.4,0.0,727.5
417,2023-10-30,3,10,957.4,453.1,8.2,1096.2
418,2023-06-12,97,4,564.0,284.1,19.9,201.9
419,2024-09-02,29,5,640.1,475.8,15.2,201.9
420,2023-10-30,38,18,676.2,228.1,8.9,281.8
421,2024-04-15,74,11,2791.6,2195.6,6.7,2848.8
422,2023-01-01,55,11,3019.9,1351.3,11.7,1001.9
423,2025-05-12,102,9,177.5,564.5,3.5,207.2
424,2023-03-20,108,21,171.6,308.9,4.5,176.6
425,2024-06-10,30,9,290.3,181.7,5.6,271.7
426,2025-07-07,41,8,122.9,139.2,3.2,130.3
427,2023-07-10,91,11,0.0,780.6,0.0,947.9
428,2024-09-30,55,21,2116.8,1049.0,7.8,1638.6
429,2023-04-17,101,3,4.6,40.3,0.5,70.3
430,2025-11-24,52,5,116.2,76.8,4.3,231.5
431,2025-08-04,20,15,1738.3,824.7,15.8,372.3
432,2023-03-20,52,5,157.7,76.8,5.8,148.4
433,2023-05-15,58,22,851.2,1225.6,2.8,1657.8
434,2025-11-24,29,17,752.9,491.1,10.3,773.7
435,2024-12-23,31,5,0.0,320.3,0.0,2136.6
436,2023-10-02,5,7,452.5,662.3,3.4,1233.5
437,2023-12-25,11,9,3138.8,1138.3,12.3,1020.3
438,2023-02-20,3,19,1184.9,474.2,11.9,643.0
439,2025-02-17,32,17,270.7,80.0,10.3,99.2
440,2025-03-17,106,8,137.2,322.5,2.4,352.4
441,2023-11-27,44,17,476.5,929.8,6.1,389.6
442,2023-09-04,86,13,1086.8,501.9,11.1,625.5
443,2025-04-14,88,17,1239.6,384.0,11.5,561.0
444,2025-09-29,40,20,700.0,1523.1,4.6,682.1
445,2023-02-20,78,16,27.7,485.5,0.2,884.9
446,2025-06-09,33,13,25.3,18.6,5.3,24.4
447,2024-05-13,16,12,1240.3,371.0,16.3,272.9
448,2023-10-30,118,6,1214.8,550.0,23.1,240.7
449,2023-01-23,43,10,720.2,340.5,9.1,601.2
450,2023-01-23,50,10,0.0,864.1,0.0,1648.6
451,2025-10-27,57,2,0.0,1113.8,0.0,1125.4
452,2023-12-25,73,4,194.7,796.2,2.1,861.5
453,2025-04-14,96,9,550.1,561.7,4.6,202.5
454,2024-09-02,107,9,0.0,356.1,0.0,471.4
455,2025-03-17,115,10,4194.6,1992.9,22.6,869.0
456,2025-10-27,53,9,1238.5,1160.7,5.9,1798.4
457,2024-02-19,35,9,434.5,1702.5,1.2,1570.1
458,2023-07-10,106,8,650.8,322.5,11.2,304.8
459,2025-02-17,117,18,661.5,198.3,13.0,289.9
460,2023-11-27,98,6,0.0,282.2,0.0,938.7
461,2023-10-02,111,7,952.7,1032.1,3.5,3222.3
462,2024-10-28,15,1,164.1,1624.2,1.0,2302.2
463,2023-10-02,13,8,498.3,295.2,13.2,297.0
464,2025-04-14,19,16,330.0,193.4,7.3,113.6
465,2025-06-09,37,17,1518.9,941.6,9.0,1520.8
466,2025-02-17,31,15,775.2,242.5,10.4,334.6
467,2023-10-30,20,12,2003.4,2053.9,9.2,1313.3
