shipment_id,warehouse_id,supplier_id,transport_mode_id,ship_date,promised_delivery_date,actual_delivery_date,n_orders,total_qty,distance_km,shipping_cost,is_otif
40,10,25,4,2023-10-03,2023-10-10,2023-10-15,1,47.0,2038.0,7247.89,0
41,21,11,1,2023-08-31,2023-09-12,2023-09-21,1,592.0,2558.7,90302.71,0
42,18,12,3,2023-03-09,2023-03-22,2023-03-27,1,526.0,241.9,19392.4,0
43,3,53,1,2023-12-24,2023-12-28,2023-12-28,1,301.0,2775.8,69822.65,1
44,3,47,1,2023-06-08,2023-06-22,2023-06-26,1,531.0,1471.1,51314.09,0
45,15,4,1,2024-11-16,2024-11-18,2024-11-20,1,327.0,2999.0,71144.05,0
46,10,24,1,2025-12-24,2025-12-30,2025-12-30,1,97.0,1461.2,18019.27,1
47,6,48,2,2023-04-03,2023-04-19,2023-04-19,1,88.0,2858.9,26844.92,1
48,12,12,1,2024-11-19,2024-12-03,2024-12-03,1,1243.0,207.2,10196.11,1
49,4,15,4,2023-12-26,2024-01-03,2024-01-05,1,1307.0,518.0,11771.39,0
50,7,21,1,2024-08-29,2024-09-06,2024-09-06,1,491.0,137.7,4683.49,1
51,9,27,1,2024-08-20,2024-09-04,2024-09-11,1,111.0,1892.8,25034.26,0
52,1,1,1,2023-11-06,2023-11-12,2023-11-18,1,1185.0,1865.9,104779.76,0
53,22,27,2,2025-08-08,2025-08-19,2025-08-19,1,1087.0,1267.3,35047.49,1
54,18,53,1,2023-01-10,2023-01-14,2023-01-14,1,265.0,2749.7,61839.02,1
55,18,9,1,2024-08-17,2024-08-23,2024-08-25,1,161.0,772.0,11544.43,0
56,10,20,4,2023-07-09,2023-07-13,2023-07-13,1,1230.0,2183.3,44836.13,1
57,2,25,3,2023-07-21,2023-07-28,2023-08-02,1,172.0,1729.3,81473.47,0
58,5,6,4,2025-02-18,2025-02-26,2025-02-26,1,111.0,404.6,2171.88,1
59,3,59,4,2024-10-05,2024-10-10,2024-10-10,1,1284.0,878.0,15734.61,1
60,8,53,4,2025-07-12,2025-07-17,2025-07-17,1,429.0,2133.3,21158.46,1
61,3,25,1,2024-04-01,2024-04-09,2024-04-12,1,207.0,973.6,23382.78,0
62,22,43,1,2024-03-04,2024-03-09,2024-03-09,1,665.0,3167.6,125695.47,1
63,19,55,2,2023-08-11,2023-08-17,2023-08-17,1,72.0,59.5,502.67,1
64,12,21,3,2025-10-28,2025-11-04,2025-11-04,1,203.0,2403.6,159234.72,1
65,18,27,1,2024-02-07,2024-02-21,2024-02-21,1,786.0,330.6,14630.43,1
66,19,30,1,2025-03-10,2025-03-17,2025-03-17,1,464.0,679.5,23067.28,1
67,6,38,2,2023-02-09,2023-02-14,2023-02-14,1,432.0,2758.9,62196.6,1
68,7,4,4,2024-01-06,2024-01-08,2024-01-12,1,470.0,899.5,10608.41,0
69,14,8,1,2023-03-09,2023-03-17,2023-03-27,1,628.0,1276.9,51899.88,0
70,8,34,4,2023-01-23,2023-02-06,2023-02-06,1,400.0,1269.6,12099.27,1
71,10,31,1,2025-12-21,2026-01-04,2026-01-04,1,182.0,1936.7,30073.22,1
72,1,49,1,2025-10-28,2025-11-10,2025-11-18,2,1958.0,2388.2,158684.38,0
73,17,47,4,2023-10-05,2023-10-21,2023-10-21,1,760.0,2392.3,40846.06,1
74,22,52,1,2023-12-31,2024-01-11,2024-01-11,1,313.0,1044.1,24526.7,1
75,3,36,4,2025-05-14,2025-05-22,2025-05-22,1,786.0,2804.3,38876.61,1
76,8,18,1,2025-10-21,2025-10-28,2025-10-28,1,678.0,3036.8,113445.8,1
77,20,23,1,2023-05-27,2023-06-01,2023-06-01,1,1876.0,1563.9,99925.99,1
78,13,12,3,2025-08-31,2025-09-14,2025-09-18,1,447.0,239.0,24505.58,0
79,6,34,1,2024-08-07,2024-08-20,2024-08-20,1,295.0,757.2,15427.56,1
80,12,37,4,2024-03-17,2024-03-22,2024-03-22,1,1053.0,2752.7,57729.99,1
81,9,34,1,2025-03-27,2025-04-06,2025-04-06,1,461.0,437.1,13830.58,1
82,14,25,2,2024-04-02,2024-04-12,2024-04-12,1,680.0,644.8,18434.13,1
83,17,53,3,2023-04-06,2023-04-10,2023-04-10,1,211.0,2254.3,153245.28,1
84,1,13,1,2025-05-14,2025-05-24,2025-05-29,1,771.0,1500.1,50774.87,0
85,21,2,3,2023-05-28,2023-06-07,2023-06-07,1,1064.0,3030.0,447606.59,1
86,12,14,3,2023-03-25,2023-03-31,2023-03-31,1,810.0,1902.5,235950.12,1
87,11,52,2,2024-03-16,2024-03-26,2024-03-26,2,612.0,2230.1,47069.0,1
88,4,5,1,2025-02-03,2025-02-14,2025-02-14,1,936.0,1013.7,46819.09,1
89,21,14,1,2023-02-17,2023-02-23,2023-02-23,1,340.0,1219.8,29140.53,1
90,4,21,1,2025-05-20,2025-05-27,2025-05-29,1,236.0,2103.5,41905.6,0
91,22,56,1,2023-03-10,2023-03-18,2023-03-22,1,1801.0,1256.7,83184.28,0
92,1,47,1,2023-06-03,2023-06-20,2023-06-20,1,405.0,1299.6,40091.96,1
93,19,3,4,2025-10-21,2025-10-27,2025-10-27,1,1206.0,857.0,16889.47,1
94,13,48,1,2023-10-20,2023-11-06,2023-11-06,1,864.0,2449.9,120417.15,1
95,14,40,3,2024-08-16,2024-08-23,2024-08-23,1,798.0,1406.9,192178.89,1
96,15,12,2,2023-06-02,2023-06-20,2023-06-24,1,311.0,3012.0,45713.41,0
97,15,11,1,2024-03-10,2024-03-22,2024-03-22,1,152.0,2720.0,52614.15,1
98,9,34,4,2024-12-30,2025-01-14,2025-01-14,1,306.0,1224.1,10127.8,1
99,19,9,1,2025-12-22,2025-12-28,2025-12-28,1,1174.0,2857.1,157744.61,1
100,19,21,1,2024-09-14,2024-09-24,2024-09-24,1,431.0,1871.2,61821.01,1
101,12,27,1,2023-12-27,2024-01-11,2024-01-16,1,931.0,178.0,8970.34,0
102,15,53,1,2024-03-15,2024-03-20,2024-03-20,1,341.0,1701.4,47987.36,1
103,17,31,1,2023-11-30,2023-12-14,2023-12-14,1,128.0,1569.1,27338.21,1
104,6,15,2,2023-05-21,2023-06-02,2023-06-02,1,89.0,407.2,4049.28,1
105,18,56,2,2024-01-13,2024-01-22,2024-01-22,1,347.0,1381.6,22322.81,1
106,1,12,2,2023-03-31,2023-04-18,2023-04-18,3,2397.0,614.7,35251.27,0
107,20,7,1,2024-11-21,2024-11-25,2024-11-25,1,121.0,1365.6,22678.9,1
108,20,1,1,2024-07-31,2024-08-07,2024-08-07,1,614.0,1783.2,62094.92,1
109,8,56,2,2025-02-17,2025-02-22,2025-02-22,1,731.0,2890.3,66649.79,1
110,11,12,4,2023-08-28,2023-09-12,2023-09-12,1,566.0,2735.7,30848.28,1
111,12,57,2,2024-07-28,2024-08-08,2024-08-08,1,731.0,533.4,15662.59,1
112,7,51,1,2023-10-10,2023-10-14,2023-10-14,1,339.0,994.1,24932.23,1
113,18,26,4,2024-01-26,2024-02-03,2024-02-06,1,365.0,1943.4,18689.86,0
114,5,2,1,2025-03-23,2025-04-01,2025-04-01,1,1371.0,1596.7,89026.13,1
115,12,58,1,2024-02-23,2024-02-27,2024-02-27,1,618.0,956.6,31213.88,1
116,13,14,1,2025-01-30,2025-02-08,2025-02-08,2,1887.0,2577.1,170372.5,0
117,17,23,2,2025-10-31,2025-11-05,2025-11-09,1,379.0,489.1,9854.74,0
118,13,8,2,2023-11-05,2023-11-14,2023-11-14,1,659.0,54.3,1429.28,1
119,11,33,4,2025-08-06,2025-08-21,2025-08-21,1,149.0,1630.6,12020.99,1
120,1,13,1,2025-10-11,2025-10-20,2025-10-20,1,1030.0,1955.1,75204.74,1
121,15,44,1,2024-10-18,2024-10-28,2024-10-28,1,624.0,1686.6,58925.84,1
122,9,2,1,2023-08-14,2023-08-24,2023-08-24,1,1210.0,3132.2,130331.12,1
123,22,50,2,2024-12-24,2024-12-27,2024-12-27,1,834.0,680.3,19394.45,1
124,5,12,2,2025-05-12,2025-05-26,2025-05-26,1,346.0,1782.4,27410.14,1
125,7,20,3,2023-03-13,2023-03-20,2023-03-20,2,1398.0,2710.3,471787.3,1
126,3,23,2,2025-10-19,2025-10-25,2025-10-28,1,1068.0,314.9,9117.34,0
127,22,9,3,2025-12-06,2025-12-11,2025-12-11,1,751.0,283.0,26566.39,1
128,3,9,1,2025-02-08,2025-02-13,2025-02-13,1,83.0,737.0,9538.24,1
129,7,14,1,2023-08-07,2023-08-16,2023-08-17,1,151.0,1746.9,30525.16,0
130,3,24,1,2024-09-06,2024-09-12,2024-09-12,1,330.0,327.8,8533.97,1
131,7,37,4,2024-12-02,2024-12-07,2024-12-07,1,984.0,2133.6,33370.45,1
132,1,15,1,2024-09-15,2024-09-25,2024-09-30,1,754.0,2046.9,79399.06,0
133,3,4,1,2024-02-19,2024-02-23,2024-02-23,1,382.0,1045.2,23949.82,1
134,11,53,1,2025-01-15,2025-01-20,2025-01-20,1,402.0,2544.6,67243.29,1
135,8,30,4,2024-07-28,2024-08-04,2024-08-04,1,403.0,1988.4,18591.56,1
136,12,57,4,2023-11-08,2023-11-19,2023-11-19,1,692.0,1798.4,26176.52,1
137,20,34,2,2024-02-09,2024-02-20,2024-02-20,1,183.0,519.0,6291.2,1
138,10,3,2,2025-02-02,2025-02-08,2025-02-08,1,477.0,803.6,17177.74,1
139,17,31,1,2023-01-05,2023-01-21,2023-01-21,2,1951.0,812.3,51988.15,1
140,17,17,1,2025-04-22,2025-05-06,2025-05-06,1,371.0,759.4,22584.21,1
141,13,2,2,2025-09-21,2025-10-01,2025-10-01,1,1144.0,707.9,28239.73,1
142,7,44,1,2023-11-15,2023-11-28,2023-11-28,1,641.0,868.1,33992.17,1
143,11,11,1,2025-03-11,2025-03-24,2025-03-24,1,238.0,329.9,6033.52,1
144,14,53,1,2025-08-15,2025-08-18,2025-08-18,1,554.0,712.8,21180.61,1
145,16,52,1,2025-10-14,2025-10-25,2025-10-27,1,269.0,2012.9,43795.28,0
146,17,17,3,2025-08-12,2025-08-30,2025-08-30,1,930.0,2958.6,365278.01,1
147,5,11,2,2024-05-07,2024-05-19,2024-05-19,1,188.0,2944.1,34880.0,1
148,12,58,2,2023-04-16,2023-04-20,2023-04-20,1,1662.0,523.7,24583.36,1
149,10,34,4,2024-07-24,2024-08-04,2024-08-04,1,306.0,1716.9,18271.53,1
150,21,34,3,2023-06-22,2023-07-03,2023-07-13,1,660.0,2921.5,374840.48,0
151,13,31,1,2025-09-01,2025-09-16,2025-09-16,1,78.0,162.4,1778.55,1
152,17,31,3,2023-03-01,2023-03-17,2023-03-17,1,227.0,1244.1,87824.7,1
153,20,14,2,2025-05-01,2025-05-07,2025-05-10,1,1130.0,2537.7,98590.97,0
154,16,23,1,2024-08-10,2024-08-15,2024-08-15,1,555.0,1000.8,38715.13,1
155,6,43,2,2024-07-21,2024-07-27,2024-07-27,1,776.0,1865.7,55453.32,1
156,8,2,4,2023-02-12,2023-02-21,2023-03-04,1,2270.0,1199.0,25196.22,0
157,2,12,3,2024-11-28,2024-12-13,2024-12-13,1,429.0,1342.8,126133.87,1
158,20,56,1,2023-03-13,2023-03-21,2023-03-21,1,31.0,570.1,5012.71,1
159,3,24,1,2023-02-07,2023-02-12,2023-02-12,1,547.0,2125.4,62442.42,1
160,4,15,1,2025-09-30,2025-10-10,2025-10-10,1,168.0,1028.0,21935.91,1
161,15,16,1,2023-02-06,2023-02-17,2023-02-17,1,250.0,637.6,16272.98,1
162,10,51,1,2023-05-27,2023-05-31,2023-05-31,1,623.0,3088.3,103338.22,1
163,2,8,1,2025-06-29,2025-07-07,2025-07-07,1,1045.0,369.5,14162.51,1
164,16,12,1,2024-03-15,2024-03-27,2024-03-27,1,339.0,2693.6,77965.74,1
165,22,27,2,2025-06-05,2025-06-18,2025-06-21,1,859.0,2168.4,68002.9,0
166,19,56,1,2024-03-05,2024-03-14,2024-03-14,2,1370.0,1544.4,69966.65,1
167,4,59,1,2025-11-20,2025-11-25,2025-11-25,1,2045.0,1851.2,97731.27,1
168,3,48,1,2024-11-18,2024-12-01,2024-12-01,1,13.0,2748.4,16042.69,1
169,7,14,4,2023-02-22,2023-03-01,2023-03-01,1,584.0,1559.6,23294.41,1
170,15,40,2,2025-09-25,2025-10-01,2025-10-10,1,544.0,2773.1,68251.48,0
171,1,38,2,2024-01-07,2024-01-12,2024-01-12,1,1016.0,2507.2,85853.4,1
172,10,25,1,2025-07-31,2025-08-09,2025-08-09,1,63.0,94.0,1114.95,1
173,20,38,1,2023-12-30,2024-01-05,2024-01-05,1,386.0,669.7,19804.46,1
174,20,11,1,2025-07-17,2025-07-25,2025-07-30,1,384.0,889.8,26083.38,0
175,21,34,3,2025-01-08,2025-01-20,2025-01-31,1,329.0,1277.5,114144.03,0
176,8,20,4,2023-06-06,2023-06-12,2023-06-12,1,1253.0,2408.8,51748.13,1
177,21,55,4,2025-03-18,2025-03-25,2025-03-25,1,206.0,901.6,7145.76,1
178,6,30,1,2023-04-10,2023-04-15,2023-04-15,1,813.0,2959.1,116000.74,1
179,14,12,1,2024-08-07,2024-08-20,2024-08-20,1,462.0,577.7,19770.51,1
180,5,57,1,2024-04-27,2024-05-08,2024-05-08,1,188.0,1066.8,22719.14,1
181,19,51,1,2024-04-17,2024-04-22,2024-04-22,1,312.0,1936.6,38817.15,1
182,11,12,4,2024-01-21,2024-02-07,2024-02-08,1,1463.0,415.5,8378.73,0
183,10,55,1,2024-03-29,2024-04-06,2024-04-06,1,866.0,1278.7,44837.24,1
184,7,32,1,2025-07-16,2025-07-21,2025-07-21,1,361.0,1434.5,31049.38,1
185,3,40,2,2025-06-05,2025-06-13,2025-06-13,1,262.0,433.3,7411.96,1
186,18,37,4,2023-01-21,2023-01-27,2023-01-27,1,225.0,267.8,2067.87,1
187,19,56,4,2023-08-18,2023-08-24,2023-08-24,1,1080.0,2472.9,47577.9,1
188,10,3,1,2024-09-27,2024-10-07,2024-10-12,1,982.0,309.3,12527.74,0
189,4,23,2,2024-10-16,2024-10-22,2024-10-22,1,497.0,1183.0,26101.57,1
190,6,6,1,2025-01-11,2025-01-19,2025-01-19,1,242.0,1934.4,42717.83,1
191,22,13,3,2025-10-25,2025-11-05,2025-11-05,1,774.0,876.3,109952.61,1
192,4,60,3,2025-06-22,2025-06-27,2025-06-27,1,747.0,524.3,56770.22,1
193,21,55,1,2025-11-13,2025-11-20,2025-11-24,1,528.0,2451.4,73395.11,0
194,15,15,1,2023-12-30,2024-01-08,2024-01-08,1,150.0,460.5,8675.44,1
195,3,17,2,2023-09-15,2023-09-29,2023-09-29,1,261.0,238.0,3720.04,1
196,1,2,4,2023-01-07,2023-01-14,2023-01-14,1,66.0,1896.2,9413.98,1
197,20,40,4,2025-04-01,2025-04-08,2025-04-09,1,86.0,707.6,3326.45,0
198,17,12,1,2023-05-09,2023-05-23,2023-05-23,1,303.0,2693.7,77758.7,1
199,6,6,1,2024-09-28,2024-10-06,2024-10-06,1,214.0,1328.1,21832.02,1
200,8,2,2,2023-03-10,2023-03-20,2023-03-20,1,637.0,1799.2,43588.32,1
201,21,30,3,2023-07-20,2023-07-26,2023-07-26,1,332.0,2229.7,190551.54,1
202,13,19,1,2023-11-05,2023-11-08,2023-11-08,1,159.0,1728.6,29057.68,1
203,8,1,2,2025-11-09,2025-11-14,2025-11-14,1,393.0,1034.8,21071.09,1
204,2,15,1,2023-02-18,2023-02-28,2023-03-05,1,617.0,388.3,11676.08,0
205,3,9,1,2024-07-10,2024-07-16,2024-07-16,1,364.0,1882.3,47630.79,1
206,4,43,1,2024-07-29,2024-08-02,2024-08-02,1,226.0,1330.2,29902.18,1
207,3,56,2,2023-10-14,2023-10-21,2023-10-22,1,975.0,1970.2,71842.45,0
208,14,27,4,2025-01-03,2025-01-17,2025-01-17,1,1012.0,108.8,1854.95,1
209,7,52,2,2024-07-10,2024-07-23,2024-07-23,1,130.0,646.8,6956.12,1
210,13,38,2,2023-04-13,2023-04-19,2023-04-19,1,261.0,2456.8,40185.44,1
211,21,53,2,2025-05-23,2025-05-26,2025-05-26,1,461.0,1041.4,19561.75,1
212,15,37,4,2024-11-11,2024-11-18,2024-11-18,1,606.0,980.5,11300.55,1
213,12,4,3,2025-10-20,2025-10-23,2025-10-28,1,1018.0,586.5,69927.87,0
214,10,43,4,2025-04-12,2025-04-19,2025-04-19,1,1033.0,1771.8,33457.85,1
215,16,48,1,2023-03-16,2023-03-28,2023-03-28,1,39.0,3185.6,23200.17,1
216,6,15,1,2023-05-01,2023-05-10,2023-05-11,1,74.0,1826.7,25030.76,0
217,17,16,2,2023-11-07,2023-11-17,2023-11-17,1,355.0,483.3,9957.55,1
218,22,8,4,2024-10-13,2024-10-20,2024-10-23,1,1853.0,1225.7,30272.81,0
219,17,12,1,2023-08-30,2023-09-16,2023-09-16,1,356.0,1985.6,45126.35,1
220,10,47,1,2025-02-21,2025-03-04,2025-03-04,1,317.0,1500.6,33682.35,1
221,19,59,1,2025-11-03,2025-11-07,2025-11-07,1,938.0,1528.1,70150.42,1
222,9,27,1,2024-07-03,2024-07-13,2024-07-13,1,1068.0,512.9,22502.02,1
223,10,38,1,2025-04-03,2025-04-08,2025-04-08,1,767.0,382.1,14424.76,1
224,14,8,2,2025-09-24,2025-10-02,2025-10-02,1,1126.0,2910.2,108020.73,1
225,21,27,4,2024-10-15,2024-10-24,2024-10-24,1,600.0,2283.2,31643.24,1
226,12,48,1,2024-03-22,2024-04-04,2024-04-08,1,328.0,3115.7,73617.34,0
227,15,17,1,2026-01-01,2026-01-18,2026-01-18,1,366.0,103.9,2542.87,1
228,21,50,4,2025-07-12,2025-07-17,2025-07-17,1,771.0,1173.3,18541.48,1
229,13,56,1,2025-07-07,2025-07-13,2025-07-13,1,295.0,2760.1,67550.32,1
230,1,38,3,2025-01-28,2025-02-03,2025-02-03,1,1126.0,280.7,39407.25,1
231,22,2,2,2023-04-01,2023-04-10,2023-04-10,1,540.0,2721.0,70237.2,1
232,20,1,2,2023-11-30,2023-12-05,2023-12-05,1,258.0,842.6,13114.01,1
233,5,46,1,2024-01-04,2024-01-18,2024-01-18,1,103.0,2888.0,45720.86,1
234,17,47,1,2025-06-25,2025-07-12,2025-07-12,1,451.0,712.9,19288.99,1
235,7,48,4,2025-06-15,2025-06-25,2025-06-25,1,63.0,1362.1,5505.25,1
236,19,48,1,2023-12-30,2024-01-13,2024-01-13,1,165.0,164.1,2637.67,1
237,4,12,1,2024-05-27,2024-06-07,2024-06-07,1,913.0,197.5,9663.62,1
238,1,16,3,2025-07-24,2025-08-06,2025-08-06,1,104.0,2003.7,73878.5,1
239,20,20,1,2025-05-15,2025-05-19,2025-05-19,1,855.0,1499.6,65606.16,1
240,1,21,4,2024-09-19,2024-09-29,2024-10-01,1,207.0,2823.2,24328.76,0
241,2,16,1,2023-09-18,2023-09-26,2023-09-26,1,552.0,2060.0,76363.91,1
242,5,50,1,2025-02-12,2025-02-17,2025-02-17,1,554.0,1959.6,62619.67,1
243,22,2,1,2024-07-08,2024-07-19,2024-07-19,1,503.0,374.0,10754.21,1
244,8,30,4,2024-04-21,2024-04-27,2024-05-04,1,740.0,2066.0,31755.6,0
245,9,43,1,2024-08-02,2024-08-08,2024-08-09,1,1064.0,1434.1,77970.52,0
246,8,21,1,2024-02-03,2024-02-12,2024-02-15,1,647.0,2314.5,88774.62,0
247,9,37,4,2024-04-25,2024-04-30,2024-04-30,1,517.0,341.4,4243.26,1
248,20,50,1,2025-10-01,2025-10-04,2025-10-09,1,894.0,2227.8,83221.53,0
249,2,43,2,2025-05-06,2025-05-11,2025-05-12,1,417.0,1220.3,28898.36,0
250,3,27,2,2023-07-09,2023-07-21,2023-07-21,1,181.0,1565.8,22114.16,1
251,19,48,2,2024-04-26,2024-05-12,2024-05-12,1,894.0,2002.4,50527.55,1
252,1,25,3,2025-03-22,2025-03-31,2025-03-31,1,50.0,2308.1,66782.59,1
253,21,14,2,2025-11-14,2025-11-22,2025-11-22,1,422.0,2215.8,42517.34,1
254,10,53,3,2025-02-05,2025-02-09,2025-02-09,1,227.0,1389.4,84442.03,1
255,12,7,4,2025-04-13,2025-04-17,2025-04-19,1,200.0,183.7,1490.66,0
256,15,59,2,2025-05-02,2025-05-05,2025-05-10,1,527.0,1010.9,20264.54,0
257,17,11,2,2023-03-31,2023-04-10,2023-04-10,1,204.0,2837.3,34374.06,1
258,6,22,2,2024-10-15,2024-10-24,2024-10-24,1,592.0,1726.2,44483.75,1
259,1,37,3,2023-08-31,2023-09-07,2023-09-07,1,640.0,97.1,8742.42,1
260,19,24,2,2023-07-07,2023-07-12,2023-07-12,1,389.0,2967.0,65062.59,1
261,11,31,1,2025-02-27,2025-03-12,2025-03-12,1,98.0,2920.5,48505.11,1
262,6,4,1,2025-09-18,2025-09-20,2025-09-21,1,292.0,180.0,4267.88,0
263,6,36,4,2023-06-13,2023-06-20,2023-06-20,1,956.0,2899.6,57379.3,1
264,6,22,1,2023-10-03,2023-10-11,2023-10-18,1,668.0,123.0,4038.42,0
265,9,47,1,2023-03-15,2023-04-01,2023-04-01,1,796.0,1022.0,34717.29,1
266,4,24,1,2025-09-09,2025-09-15,2025-09-18,1,1182.0,105.2,5259.63,0
267,12,34,1,2025-06-01,2025-06-14,2025-06-18,1,1030.0,3103.6,137692.5,0
268,6,22,3,2024-06-08,2024-06-20,2024-06-23,1,592.0,842.5,88427.01,0
269,13,25,1,2024-04-25,2024-05-06,2024-05-06,1,259.0,162.6,3554.16,1
270,9,1,2,2025-04-11,2025-04-19,2025-04-21,1,140.0,1923.2,25410.85,0
271,13,12,4,2023-01-04,2023-01-22,2023-01-22,1,223.0,463.6,4156.63,1
272,22,13,4,2025-02-04,2025-02-16,2025-02-16,1,539.0,2418.0,32594.14,1
273,21,55,1,2025-12-03,2025-12-09,2025-12-09,1,211.0,1041.8,21098.46,1
274,21,32,4,2024-05-14,2024-05-20,2024-05-24,1,671.0,1310.1,15101.11,0
275,5,53,4,2025-06-20,2025-06-24,2025-06-24,1,90.0,1201.4,7302.47,1
276,11,14,1,2025-09-12,2025-09-17,2025-09-17,1,81.0,338.1,4506.72,1
277,13,53,2,2025-11-24,2025-11-29,2025-11-29,1,240.0,737.2,11633.78,1
278,1,2,4,2025-11-10,2025-11-22,2025-11-22,1,1137.0,2798.6,49251.88,1
279,3,30,3,2023-03-19,2023-03-25,2023-03-25,1,151.0,1659.0,84295.35,1
280,14,9,1,2023-02-26,2023-03-05,2023-03-10,1,496.0,1269.6,46681.5,0
281,6,16,1,2023-02-24,2023-03-07,2023-03-07,1,1184.0,168.5,7854.66,1
282,5,15,1,2024-08-12,2024-08-21,2024-08-27,2,1319.0,2965.3,142264.42,0
283,8,55,1,2025-07-19,2025-07-27,2025-07-29,1,738.0,1039.5,46286.01,0
284,5,12,3,2023-02-11,2023-02-28,2023-02-28,1,354.0,1104.2,73623.97,1
285,9,56,1,2023-10-13,2023-10-20,2023-10-20,1,100.0,2548.6,33705.69,1
286,4,5,1,2024-11-01,2024-11-11,2024-11-11,1,705.0,1473.3,48078.9,1
287,19,30,2,2024-03-15,2024-03-22,2024-03-26,1,596.0,751.8,20602.09,0
288,19,38,1,2025-10-24,2025-10-30,2025-10-30,1,883.0,696.1,29256.87,1
289,21,15,1,2025-07-08,2025-07-17,2025-07-19,1,1140.0,1883.2,97040.47,0
290,10,55,3,2024-06-06,2024-06-14,2024-06-14,1,184.0,1862.9,113595.47,1
291,16,3,1,2025-04-20,2025-04-28,2025-04-28,1,617.0,2772.8,106428.58,1
292,22,16,2,2025-08-02,2025-08-10,2025-08-10,1,908.0,1015.2,35737.94,1
293,20,7,4,2025-01-28,2025-02-02,2025-02-02,1,475.0,762.4,9676.68,1
294,20,48,1,2025-07-11,2025-07-26,2025-07-29,2,1363.0,730.8,39367.96,0
295,20,53,4,2025-06-13,2025-06-16,2025-06-16,1,1058.0,387.7,8057.13,1
