entity_type,sku,category,warehouse,week,stockout_probability,risk_band,evidence
SKU-Warehouse,SKU-00005,Office Supplies,Lisatown Distribution Center,2025-12-22,0.129,Low,"Demand decreased 28% (1017 -> 730 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks."
SKU-Warehouse,SKU-00005,Office Supplies,Cassandraton Distribution Center,2025-12-22,0.236,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00005,Office Supplies,Herrerafurt Distribution Center,2025-12-22,0.127,Low,Inventory coverage improved from 0.6 to 2.6 days of supply.
SKU-Warehouse,SKU-00005,Office Supplies,Lake Chad Distribution Center,2025-12-22,0.165,Low,Inventory coverage declined from 12.5 to 9.4 days of supply.
SKU-Warehouse,SKU-00006,Personal Care,East Jill Distribution Center,2025-12-22,0.37,Medium,"Demand decreased 24% (1728 -> 1307 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00006,Personal Care,East Jessetown Distribution Center,2025-12-22,0.358,Medium,"Demand increased 31% (1414 -> 1847 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00006,Personal Care,Lisatown Distribution Center,2025-12-22,0.6,High,"Demand decreased 31% (1866 -> 1280 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 3.5 to 2.6 days of supply."
SKU-Warehouse,SKU-00006,Personal Care,Ericmouth Distribution Center,2025-12-22,0.355,Medium,"Demand decreased 39% (1870 -> 1138 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00006,Personal Care,Cassandraton Distribution Center,2025-12-22,0.612,High,"Demand increased 66% (1237 -> 2060 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.3 to 1.0 days of supply."
SKU-Warehouse,SKU-00006,Personal Care,Lake Chad Distribution Center,2025-12-22,0.467,Medium,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00006,Personal Care,Jacquelineland Distribution Center,2025-12-22,0.317,Medium,"Demand decreased 18% (1814 -> 1484 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00006,Personal Care,Lake Mark Distribution Center,2025-12-22,0.646,High,"Demand increased 109% (1635 -> 3418 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.1 to 1.4 days of supply.; Late deliveries for this product-warehouse rose from 1 to 7 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 3 in the same comparison window."
SKU-Warehouse,SKU-00007,Automotive Parts,New Roberttown Distribution Center,2025-12-22,0.082,Low,"Demand decreased 33% (122 -> 82 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks."
SKU-Warehouse,SKU-00007,Automotive Parts,Lake Debra Distribution Center,2025-12-22,0.111,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00007,Automotive Parts,Robinsonshire Distribution Center,2025-12-22,0.073,Low,Inventory coverage improved from 2.0 to 7.5 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.
SKU-Warehouse,SKU-00007,Automotive Parts,Ramirezstad Distribution Center,2025-12-22,0.148,Low,"Demand increased 15% (168 -> 193 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 12.5 to 14.0 days of supply."
SKU-Warehouse,SKU-00007,Automotive Parts,Lake Mark Distribution Center,2025-12-22,0.121,Low,"Demand decreased 18% (207 -> 169 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 7.7 to 12.4 days of supply."
SKU-Warehouse,SKU-00008,Electronics,Lake Roberto Distribution Center,2025-12-22,0.07,Low,"Demand increased 61% (964 -> 1550 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00008,Electronics,Ericmouth Distribution Center,2025-12-22,0.492,Medium,Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.
SKU-Warehouse,SKU-00008,Electronics,New Kellystad Distribution Center,2025-12-22,0.089,Low,"Demand decreased 30% (635 -> 446 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00008,Electronics,Jacquelineland Distribution Center,2025-12-22,0.431,Medium,"Demand increased 13% (1353 -> 1526 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 7.2 to 8.2 days of supply.; Late deliveries for this product-warehouse rose from 4 to 5 orders over the last 4 weeks."
SKU-Warehouse,SKU-00008,Electronics,New Jessica Distribution Center,2025-12-22,0.349,Medium,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00009,Electronics,North Judithbury Distribution Center,2025-12-22,0.356,Medium,"Demand decreased 96% (11931 -> 512 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00009,Electronics,East Jill Distribution Center,2025-12-22,0.149,Low,"Demand increased 86% (456 -> 850 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00009,Electronics,Lake Debra Distribution Center,2025-12-22,0.107,Low,"Demand increased 55% (213 -> 329 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 1.9 to 6.7 days of supply."
SKU-Warehouse,SKU-00009,Electronics,Lisatown Distribution Center,2025-12-22,0.085,Low,"Demand decreased 11% (552 -> 493 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00009,Electronics,Ericmouth Distribution Center,2025-12-22,0.211,Low,"Demand decreased 40% (490 -> 292 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00009,Electronics,New Kellystad Distribution Center,2025-12-22,0.058,Low,"Demand decreased 54% (454 -> 210 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00009,Electronics,Lake Chad Distribution Center,2025-12-22,0.079,Low,Inventory coverage improved from 5.7 to 9.7 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.
SKU-Warehouse,SKU-00009,Electronics,Port Keith Distribution Center,2025-12-22,0.131,Low,"Demand increased 41% (285 -> 401 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 4.1 to 4.7 days of supply.; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00009,Electronics,Port Jesseville Distribution Center,2025-12-22,0.073,Low,"Demand decreased 38% (503 -> 314 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 2.0 to 8.1 days of supply."
SKU-Warehouse,SKU-00009,Electronics,Ramirezstad Distribution Center,2025-12-22,0.23,Low,Inventory coverage declined from 14.2 to 11.6 days of supply.
SKU-Warehouse,SKU-00009,Electronics,West Michael Distribution Center,2025-12-22,0.169,Low,"Demand increased 125% (268 -> 602 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00010,Electronics,East Jill Distribution Center,2025-12-22,0.105,Low,"Demand decreased 18% (326 -> 268 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00010,Electronics,New Roberttown Distribution Center,2025-12-22,0.139,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00010,Electronics,Robinsonshire Distribution Center,2025-12-22,0.115,Low,"Demand decreased 16% (295 -> 248 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 8.1 to 0.0 days of supply."
SKU-Warehouse,SKU-00010,Electronics,Lake Roberto Distribution Center,2025-12-22,0.389,Medium,"Demand decreased 30% (330 -> 231 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.7 to 0.0 days of supply."
SKU-Warehouse,SKU-00010,Electronics,Ericmouth Distribution Center,2025-12-22,0.13,Low,"Demand increased 71% (356 -> 607 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 12.7 to 9.5 days of supply.; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window."
SKU-Warehouse,SKU-00010,Electronics,North Noahstad Distribution Center,2025-12-22,0.152,Low,Inventory coverage declined from 4.1 to 3.2 days of supply.
SKU-Warehouse,SKU-00010,Electronics,Herrerafurt Distribution Center,2025-12-22,0.282,Medium,"Demand increased 63% (383 -> 624 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 5.9 to 3.0 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks."
SKU-Warehouse,SKU-00010,Electronics,New Kellystad Distribution Center,2025-12-22,0.076,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00010,Electronics,West Michael Distribution Center,2025-12-22,0.115,Low,"Demand increased 37% (285 -> 390 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 1.9 to 0.0 days of supply."
SKU-Warehouse,SKU-00011,Home & Kitchen,North Judithbury Distribution Center,2025-12-22,0.229,Low,"Demand decreased 49% (2627 -> 1336 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00011,Home & Kitchen,Ericmouth Distribution Center,2025-12-22,0.463,Medium,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00011,Home & Kitchen,Herrerafurt Distribution Center,2025-12-22,0.698,High,"Demand increased 26% (1830 -> 2306 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 2.3 to 1.7 days of supply."
SKU-Warehouse,SKU-00011,Home & Kitchen,New Kellystad Distribution Center,2025-12-22,0.253,Medium,"Demand increased 37% (796 -> 1095 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00011,Home & Kitchen,Lake Chad Distribution Center,2025-12-22,0.603,High,"Demand increased 22% (2070 -> 2530 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00011,Home & Kitchen,Jacquelineland Distribution Center,2025-12-22,0.61,High,"Demand decreased 28% (1472 -> 1058 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 7.7 to 3.5 days of supply."
SKU-Warehouse,SKU-00012,Personal Care,Lake Debra Distribution Center,2025-12-22,0.537,High,Inventory coverage declined from 10.3 to 7.7 days of supply.
SKU-Warehouse,SKU-00012,Personal Care,New Kellystad Distribution Center,2025-12-22,0.549,High,Inventory coverage declined from 4.1 to 0.6 days of supply.
SKU-Warehouse,SKU-00012,Personal Care,Lake Chad Distribution Center,2025-12-22,0.381,Medium,Inventory coverage improved from 4.8 to 6.4 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.
SKU-Warehouse,SKU-00012,Personal Care,Port Jesseville Distribution Center,2025-12-22,0.095,Low,"Demand increased 21% (2666 -> 3213 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 8.0 to 2.6 days of supply.; Late deliveries for this product-warehouse rose from 1 to 6 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 4 in the same comparison window."
SKU-Warehouse,SKU-00012,Personal Care,New Jessica Distribution Center,2025-12-22,0.212,Low,"Demand increased 24% (2458 -> 3053 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 7.2 to 4.6 days of supply."
SKU-Warehouse,SKU-00012,Personal Care,South Noah Distribution Center,2025-12-22,0.686,High,"Demand decreased 28% (3277 -> 2373 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 11.7 to 7.1 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00013,Office Supplies,East Jill Distribution Center,2025-12-22,0.269,Medium,"Demand decreased 27% (354 -> 258 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 12.1 to 13.5 days of supply."
SKU-Warehouse,SKU-00013,Office Supplies,Lake Debra Distribution Center,2025-12-22,0.237,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00013,Office Supplies,Lisatown Distribution Center,2025-12-22,0.376,Medium,"Demand decreased 54% (530 -> 246 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 18.2 to 7.7 days of supply."
SKU-Warehouse,SKU-00013,Office Supplies,Lake Roberto Distribution Center,2025-12-22,0.343,Medium,"Demand increased 19% (288 -> 343 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 13.2 to 15.6 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00013,Office Supplies,Cassandraton Distribution Center,2025-12-22,0.357,Medium,"Demand decreased 27% (367 -> 266 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 5.1 to 11.1 days of supply."
SKU-Warehouse,SKU-00013,Office Supplies,Port Keith Distribution Center,2025-12-22,0.144,Low,"Demand decreased 19% (142 -> 115 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 13.9 to 16.0 days of supply."
SKU-Warehouse,SKU-00013,Office Supplies,Ramirezstad Distribution Center,2025-12-22,0.409,Medium,Inventory coverage improved from 6.4 to 9.2 days of supply.
SKU-Warehouse,SKU-00013,Office Supplies,New Jessica Distribution Center,2025-12-22,0.464,Medium,"Demand decreased 20% (377 -> 302 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 14.5 to 11.7 days of supply."
SKU-Warehouse,SKU-00013,Office Supplies,South Noah Distribution Center,2025-12-22,0.434,Medium,"Demand decreased 10% (283 -> 253 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00014,Apparel,North Judithbury Distribution Center,2025-12-22,0.329,Medium,"Demand increased 32% (307 -> 404 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 1 to 2 in the same comparison window."
SKU-Warehouse,SKU-00014,Apparel,New Roberttown Distribution Center,2025-12-22,0.347,Medium,"Demand increased 27% (131 -> 166 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00014,Apparel,Lake Debra Distribution Center,2025-12-22,0.509,High,"Demand increased 64% (112 -> 184 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00014,Apparel,Robinsonshire Distribution Center,2025-12-22,0.143,Low,"Demand increased 14% (176 -> 200 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 11.0 to 7.7 days of supply."
SKU-Warehouse,SKU-00015,Personal Care,North Judithbury Distribution Center,2025-12-22,0.553,High,"Demand decreased 13% (1812 -> 1574 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00015,Personal Care,East Jill Distribution Center,2025-12-22,0.495,Medium,"Demand decreased 38% (2304 -> 1439 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 12.0 to 9.9 days of supply."
SKU-Warehouse,SKU-00015,Personal Care,East Jessetown Distribution Center,2025-12-22,0.539,High,"Demand decreased 71% (6121 -> 1771 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 29.6 to 4.5 days of supply."
SKU-Warehouse,SKU-00015,Personal Care,Lake Roberto Distribution Center,2025-12-22,0.212,Low,"Demand increased 56% (1116 -> 1743 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00015,Personal Care,North Noahstad Distribution Center,2025-12-22,0.5,High,"Demand increased 25% (2040 -> 2542 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 8.6 to 14.6 days of supply.; Late deliveries for this product-warehouse rose from 3 to 8 orders over the last 4 weeks.; Stockout-flagged orders increased from 2 to 5 in the same comparison window."
SKU-Warehouse,SKU-00015,Personal Care,Herrerafurt Distribution Center,2025-12-22,0.488,Medium,"Demand increased 11% (1508 -> 1678 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00015,Personal Care,New Kellystad Distribution Center,2025-12-22,0.303,Medium,"Demand increased 19% (852 -> 1013 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks."
SKU-Warehouse,SKU-00015,Personal Care,Ramirezstad Distribution Center,2025-12-22,0.574,High,"Demand increased 48% (1389 -> 2062 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.7 to 3.5 days of supply.; Late deliveries for this product-warehouse rose from 2 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 3 in the same comparison window."
SKU-Warehouse,SKU-00015,Personal Care,West Michael Distribution Center,2025-12-22,0.544,High,"Demand increased 15% (1200 -> 1380 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 6 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 4 in the same comparison window."
SKU-Warehouse,SKU-00015,Personal Care,Jacquelineland Distribution Center,2025-12-22,0.762,High,"Demand increased 75% (849 -> 1488 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 12.4 to 14.6 days of supply.; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00015,Personal Care,Lake Mark Distribution Center,2025-12-22,0.474,Medium,Inventory coverage improved from 7.2 to 8.9 days of supply.
SKU-Warehouse,SKU-00016,Industrial Parts,Lisatown Distribution Center,2025-12-22,0.12,Low,"Demand decreased 25% (536 -> 402 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 5.5 to 4.2 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks."
SKU-Warehouse,SKU-00016,Industrial Parts,Cassandraton Distribution Center,2025-12-22,0.242,Low,"Demand decreased 24% (549 -> 416 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks."
